Name,Ticker,Sector,Sub-Sector,Market Cap,PE Ratio,Free Cash Flow,5Y Avg Cash Flow Margin,Total Equity,Total Debt,Operating Cash Flow,Capital Expenditure,Earnings Per Share,Return on Equity,ROCE,Dividend Yield,Debt to Equity,Close Price
Hitech Corporation Ltd,HITECHCORP,Materials,Packaging,333.7066753,15.16848524,3.22,12.11518473,263.42,80.39,54.57,51.35,12.80879382,8.684839034,14.53232688,0.514694529,0.305178043,187.37
South West Pinnacle Exploration Ltd,SOUTHWEST,Materials,Mining - Diversified,333.3503729,40.3083885,-19.11,10.94122038,121.5,92.66,18.68,37.79,2.963902747,7.03171499,12.44916116,0.418514606,0.762633745,109.07
Vaarad Ventures Ltd,VAARAD,Industrials,Conglomerates,332.870796,-1188.824271,-0.04,0,22.51,3.53,-0.03,0.01,-0.011204347,-1.236476043,-1.071975498,,0.156819191,13.3
Shradha Infraprojects Ltd,SHRADHA,Real Estate,Real Estate,332.7987575,17.8444374,-2.76,-288.9420522,109.73,135.03,25.04,27.8,3.68406123,18.65559668,19.00794864,0.60845756,1.230565935,64.42
GEE Ltd,GEE,Industrials,Industrial Machinery,332.6523648,25.88734356,11.2,4.966985932,204.29,81.61,45.18,33.98,4.944501149,6.468826298,12.0381844,,0.39948113,131.7
Fredun Pharmaceuticals Ltd,FREDUN,Health Care,Pharmaceuticals,332.4522214,21.27013573,-8.08,-3.131293454,121.47,105.51,-0.44,7.64,33.86256133,14.34932293,24.93962211,0.098943944,0.868609533,704.7
Rudrabhishek Enterprises Ltd,REPL,Real Estate,Real Estate,332.3122825,23.68583624,-1.36,-3.682328522,123.67,10.15,0.27,1.63,8.089952429,12.28277522,17.22208903,,0.082073259,174.2
Apollo Sindoori Hotels Ltd,APOLSINHOT,Consumer Discretionary,Restaurants & Cafes,332.175096,29.95266871,5.19,6.29820017,135.1,87.25,14.13,8.94,42.64728503,8.693947946,15.70834777,0.156568029,0.645817913,1266
D P Wires Ltd,DPWIRES,Materials,Iron & Steel,332.1745149,9.145774089,18.54,3.512209806,226.19,1.07,23.56,5.02,23.42714303,17.39213715,22.75928861,,0.004730536,207.37
Manaksia Steels Ltd,MANAKSTEEL,Materials,Iron & Steel,331.3401568,11.67512885,-90.87,0.381578017,300.44,185.76,-52.15,38.72,4.330573191,9.606661702,14.8420374,,0.61829317,47.88
Pratham EPC Projects Ltd,PRATHAM,Industrials,Construction & Engineering,331.3128,33.0651497,-13.15,0,60.9,4.22,-9.03,4.12,6.5234375,25.40245912,24.2250465,,0.069293924,178.65
ASI Industries Ltd,ASIIL,Materials,Mining - Diversified,330.3947699,13.15789605,13.77,15.62585896,322.16,28.99,19.61,5.84,2.787679721,5.786715336,11.39213276,0.954198473,0.089986342,35.65
SMS Lifesciences India Ltd,SMSLIFE,Health Care,Pharmaceuticals,330.3848034,36.30602235,3.44,5.605682684,193.63,100.72,24.31,20.87,30.09968951,4.766394301,8.175793796,0.137262079,0.520167329,1083.5
Yogi Ltd,YOGI,Real Estate,Real Estate,329.82,-891.4054054,-29.46,-5405.667846,55.8,17.64,-29.46,0,-0.245325554,-1.012035011,-0.719627487,,0.316129032,111.99
Hindusthan Urban Infrastructure Ltd,HUIL,Industrials,Heavy Electrical Equipments,328.97778,-14.84556769,-0.71,5.334014921,400.54,328.96,4.5,5.21,-153.5811932,-5.311346532,-2.190933723,,0.821291257,2288.95
GP Eco Solutions India Ltd,GPECO,Industrials,Renewable Energy Equipment & Services,327.199752,44.69941967,-7.7,0,22.87,14.32,-6.09,1.61,9.36372707,48.4287132,47.1031746,,0.626147792,273.85
Investment & Precision Castings Ltd,INVPRECQ,Consumer Discretionary,Auto Parts,326.875,41.90705128,-1.69,9.257168543,85.66,74.24,5.81,7.5,15.6,9.509295946,17.93769113,0.152963671,0.866682232,643.9
Quint Digital Ltd,QUINT,Communication Services,Advertising,326.1378673,4.368893065,-76.84,0,261.2,220.16,-40.45,36.39,15.87240567,33.21985626,25.86875,,0.84287902,67
Rudra Global Infra Products Ltd,RUDRA,Materials,Iron & Steel,326.117441,15.70136933,3.51,0.15441847,113.44,130.74,3.51,0,2.069881388,20.15330875,25.07684084,,1.152503526,30.7
Bhatia Colour Chem Ltd,BCCL,Materials,Specialty Chemicals,325.41775,94.59818314,17.55,0,62.61,19.84,17.55,0,2.811893328,5.649995894,8.040935673,,0.316882287,264.95
Kaka Industries Ltd,KAKA,Industrials,Building Products - Glass,325.108,25.00830769,-29.95,-1.869697552,51.48,44.65,11.88,41.83,10.98901099,36.57335772,25.82764057,,0.867327117,240
Bhatia Communications & Retail (India) Ltd,BHATIA,Consumer Discretionary,Retail - Speciality,324.894592,28.17819532,15.75,2.383038274,66.09,21.15,19.06,3.31,0.921279724,19.11313717,20.62105774,0.038520801,0.320018157,25.39
Baroda Rayon Corporation Ltd,BARODARY,Consumer Discretionary,Textiles,324.653957,9.484486037,-3.29,-148.0315955,331.95,211.39,-2.99,0.3,14.94018753,10.87218905,7.181621895,,0.636812773,140.95
Indiabulls Enterprises Ltd,IEL,Industrials,Construction & Engineering,324.2809901,-12.84789977,23.77,0,245.74,251.27,39.41,15.64,-1.272581535,-9.767423861,-6.746987952,,1.022503459,16.02
Madhav Infra Projects Ltd,MADHAVIPL,Industrials,Construction & Engineering,324.0370351,14.93258226,56.63,12.53677625,199.95,144.96,64.62,7.99,0.804951199,11.4830004,15.25859905,,0.724981245,11.37
T T Ltd,TTL,Consumer Discretionary,Textiles,323.521959,69.87515313,21.57,10.59967396,71.78,128.9,25.06,3.49,0.215368371,6.665227093,13.8659707,,1.795764837,14.32
Poddar Pigments Ltd,PODDARMENT,Materials,Specialty Chemicals,322.8623,11.20660535,-4.98,5.347054688,348.4,0,21.26,26.24,27.15362865,8.973540359,10.90586343,1.314492277,0,298.55
Alacrity Securities Ltd,ALSL,Financials,Investment Banking & Brokerage,322.79388,28.19160524,0.32,-0.263772032,45.05,1.98,0.45,0.13,5.431688805,32.87867911,36.53120142,,0.043951165,69.66
Navkar Urbanstructure Ltd,NAVKARURB,Industrials,Construction & Engineering,322.041265,315.7267304,2.62,-69.46189691,157.33,13.71,9.68,7.06,0.045450697,0.649536727,0.984422954,0.069686411,0.087141677,14.41
Autoline Industries Ltd,AUTOIND,Consumer Discretionary,Auto Parts,321.397685,19.59741982,-67.09,2.912747735,199.34,194.45,19.2,86.29,4.209103758,9.686946249,15.42296369,,0.975469048,71.72
DRC Systems India Ltd,DRCSYSTEMS,Communication Services,Advertising,321.267475,27.55295669,3.32,0,47.83,0.75,27.8,24.48,0.882753434,28.4043849,25.10561255,,0.015680535,23.12
Welspun Investments and Commercials Ltd,WELINV,Financials,Diversified Financials,321.1736233,115.5300803,-2.18,-21.83222,457.7,0,-2.18,0,7.607109747,3.26336162,0.754059149,,0,838.45
DCM Nouvelle Ltd,DCMNVL,Consumer Discretionary,Textiles,320.5848838,-98.33892142,-89.12,0,324.45,372.26,-46.08,43.04,-1.745392338,-1.00215186,5.298171724,,1.147357066,165.44
Sanjivani Paranteral Ltd,SANJIVIN,Health Care,Pharmaceuticals,319.795794,51.83076078,-14,4.405275801,27.9,0.97,-10.7,3.3,5.691199395,49.69794603,26.443769,,0.034767025,262
Gennex Laboratories Ltd,GENNEX,Health Care,Pharmaceuticals,319.7914296,24.28180939,-46.69,-0.645784348,176.46,5.72,-46.69,0,0.646157842,10.0159708,10.3179206,,0.032415278,12.89
Midwest Gold Ltd,MIDWEST,Materials,Mining - Diversified,319.2303997,-138.7958259,-0.41,-302.1141409,-23.14,26.78,-0.41,0,-7.033639144,,4.739130435,,,294.7
Vibhor Steel Tubes Ltd,VSTL,Materials,Iron & Steel,319.1758406,18.02235125,-28.4,2.324010831,177.78,141.55,5.87,34.27,10.68623521,13.07155774,21.07473132,,0.796208797,167.85
MIRC Electronics Ltd,MIRCELECTR,Consumer Discretionary,Home Electronics & Appliances,316.405088,-5.086898521,-6.96,0.413873629,128.44,103.91,-4.54,2.42,-2.690304216,-38.962666,-31.040158,,0.809015883,12.93
Nagarjuna Fertilizers and Chemicals Ltd,NAGAFERT,Materials,Fertilizers & Agro Chemicals,316.3763866,-0.246399055,43.52,3.837141579,-3352.1,3261,44.56,1.04,-21.46923819,,24.93914569,,,4.99
Kings Infra Ventures Ltd,KINGSINFR,Real Estate,Real Estate,316.2428323,41.39304087,-2.15,0,35.92,29.41,-1.73,0.42,3.22,,29.35239697,,0.81876392,128.95
Kaya Ltd,KAYA,Consumer Discretionary,Wellness Services,316.109152,-2.446475908,2.85,11.46632212,-226.79,301.46,38.79,35.94,-98.90469991,,-923.5729387,,,250.6
Anjani Portland Cement Ltd,APCL,Materials,Cement,316.0137111,-8.088398032,37.63,0,297.14,426.73,52.64,15.01,-13.30053239,-12.32861583,-2.269491144,,1.436124386,105.64
Valiant Communications Ltd,VALIANT,Communication Services,Telecom Equipments,315.4965616,50.88654219,0.25,1.278431862,51.88,1.85,3.08,2.83,8.34931374,14.61230262,15.9759985,,0.035659214,385
Nath Bio-Genes (I) Ltd,NATHBIOGEN,Consumer Staples,Agro Products,314.117116,7.928246239,47.81,0,609.91,110.35,74.59,26.78,20.84824248,6.697885145,8.218002881,1.209994555,0.180928334,155.29
Sheetal Cool Products Ltd,SCPL,Consumer Staples,Packaged Foods & Meats,313.8975,15.07672911,13.9,5.223451101,114.53,83.57,29.91,16.01,19.82857143,19.99807895,26.63316583,,0.729677814,322.05
Manomay Tex India Ltd,MANOMAY,Consumer Discretionary,Textiles,313.4162833,24.12750449,-141.06,1.320219168,129,299.88,12.81,153.87,7.197180301,10.60667919,10.64722639,,2.324651163,173.59
Balgopal Commercial Ltd,BALGOPAL,Consumer Discretionary,Apparel & Accessories,312.23925,23.74442966,13.62,10.17634397,28.58,0,13.62,0,7.964869776,59.78631507,49.38875306,,0,165
Inspirisys Solutions Ltd,INSPIRISYS,Information Technology,IT Services & Consulting,312.0621086,85.03054731,24.81,6.771916882,29.29,87.88,28.77,3.96,0.926372962,35.08604207,53.16735823,,3.000341413,77.33
Rama Phosphates Ltd,RAMAPHO,Materials,Fertilizers & Agro Chemicals,311.0466845,-10.01115818,-13.16,1.488551504,352.81,148.59,-5.1,8.06,-8.789591991,-9.389401792,-7.640681466,,0.421161532,86.75
ABM Knowledgeware Ltd,ABMKNO,Information Technology,Software Services,310.634166,21.45263577,3.33,9.898407264,226.11,0,7.33,4,6.767050818,6.58930603,8.437683839,0.861053063,0,161.05
Kamdhenu Ventures Ltd,KAMOPAINTS,Materials,Commodity Chemicals,310.58274,22.42474657,-21.59,0,159.36,20.59,-15.51,6.08,0.474550719,11.54888472,11.09481342,,0.129204317,9.68
Sobhaygya Mercantile Ltd,SOBME,Financials,Diversified Financials,310.506,26.79085418,3.55,-2.609208293,47.2,13.82,4.23,0.68,284.1864813,28.00193283,36.35985872,,0.29279661,362.3
Systango Technologies Ltd,SYSTANGO,Information Technology,IT Services & Consulting,310.465152,18.34900426,7.09,18.00137055,78.4,0.09,8.69,1.6,8.121184195,24.162799,26.89514588,,0.001147959,206.95
Supreme Power Equipment Ltd,SUPREMEPWR,Utilities,Power Transmission & Distribution,309.3902513,22.09930366,-31.15,0,77.28,9.22,-10.73,20.42,6.54170912,28.3142886,28.1591551,,0.119306418,117.65
Akme Fintrade India Ltd,AFIL,Financials,Consumer Finance,309.308371,16.69230281,-45.73,36.61621257,223.24,204.78,-45.5,0.23,5.850040202,8.659687821,6.765183224,,0.917308726,70.01
Ravinder Heights Ltd,RVHL,Real Estate,Real Estate,308.4071766,-142.7811003,-9.24,57.6288223,243.58,1.16,-8.64,0.6,-0.352647304,-0.882875886,-0.743628909,,0.004762296,48.3
Nitiraj Engineers Ltd,NITIRAJ,Information Technology,Electronic Equipments,308.04255,25.5636971,15.44,9.104532012,79.66,0.23,17.87,2.43,11.75495074,16.36783483,19.58007813,0.499168053,0.002887271,292.1
Goyal Salt Ltd,GOYALSALT,Materials,Commodity Chemicals,307.8843,32.58034921,5.76,2.103909883,42.25,5.53,15.46,9.7,6.116801786,32.33532934,29.94840525,,0.130887574,172
Vijay Solvex Ltd,VIJSOLX,Consumer Staples,Agro Products,307.6413743,105.356635,20.65,1.657381252,322.63,9.22,30.78,10.13,9.11954822,0.909444834,1.522491349,,0.028577628,959
Revathi Equipment India ltd,RVTH,Industrials,Industrial Machinery,305.7128782,9.845825386,32.82,0,106.58,30.99,44.15,11.33,101.2408773,34.08716654,42.87669983,,0.290767499,973.9
Shivalic Power Control Ltd,SPCL,Industrials,Electrical Components & Equipments,304.8231306,27.19207231,-10.38,0.24128308,41.2,31.95,-8.27,2.11,6.447650171,33.92343774,39.2618174,,0.775485437,120.4
Sharat Industries Ltd,SHINDL,Consumer Staples,Packaged Foods & Meats,304.6479915,51.89914677,-3.27,0,83.92,95.51,-1.66,1.61,1.904098683,7.221948819,17.55077296,0.196230573,1.138107722,80.99
Graviss Hospitality Ltd,GRAVISSHO,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",304.6426632,101.5475544,0.03,24.60961274,183.05,2.92,9.43,9.4,0.425416449,1.652528368,1.938466127,,0.015951926,42.8
Lokesh Machines Ltd,LOKESHMACH,Industrials,Industrial Machinery,304.3260774,21.98887843,-41.66,9.066113643,195.99,118.05,17.44,59.1,7.605745415,7.797842071,12.42002404,,0.602326649,166.65
Cosmo Ferrites Ltd,COSMOFE,Industrials,Electrical Components & Equipments,304.17855,-153.6255303,1.22,1.172003065,32.29,66.17,2.72,1.5,-1.65,-5.951307484,9.034038638,,2.049241251,265.45
Jaysynth Orgochem Ltd,JAYSYNTH,Materials,Specialty Chemicals,304.0776732,24.72176205,3.56,0,158.87,0.49,6.52,2.96,0.911745956,8.14488627,10.94008708,0.22182819,0.003084283,22.2
Shemaroo Entertainment Ltd,SHEMAROO,Communication Services,Movies & TV Serials,304.0749279,-7.480318029,15.43,2.764056441,549.49,340.5,25.59,10.16,-14.942494,-7.15089892,-0.165374493,,0.619665508,104.75
Anik Industries Ltd,ANIKINDS,Industrials,Commodities Trading,304.0394391,1085.85514,39.65,13.4913077,402.16,7.34,43.93,4.28,0.100888227,0.069631822,1.304326426,,0.018251442,113.63
Sundaram Brake Linings Ltd,SUNDRMBRAK,Consumer Discretionary,Auto Parts,303.591807,30.0288632,8.89,1.760361361,95.05,44.23,15.21,6.32,25.6952784,11.2046991,14.25702811,0.259201659,0.465334035,791.1
Freshara Agro Exports Ltd,FRESHARA,Consumer Staples,Agro Products,303.13968,30.4662995,-22.47,0,26.97,107.56,-17.58,4.89,5.852941176,,34.58817585,,3.988134965,122.8
Sayaji Hotels (Indore) Ltd,SHILINDORE,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",302.5278765,42.19356715,-2.44,0,52.04,41.82,18,20.44,23.5343932,14.76371873,17.43248432,,0.803612606,993
KPT Industries Ltd,KPT,Industrials,Industrial Machinery,302.379,25.07288557,-2.11,7.166815181,55.36,36.91,4.61,6.72,35.47058824,24.31206532,31.30300694,0.168662506,0.666726879,910
Sumit Woods Ltd,SUMIT,Real Estate,Real Estate,302.3223429,33.59137143,35.83,-10.52731434,100.79,119.43,35.99,0.16,2.942422288,9.516760072,14.76995213,,1.184938982,95.17
Kothari Sugars and Chemicals Ltd,KOTARISUG,Consumer Staples,Sugar,302.1288741,10.24860496,-1.83,7.233909721,278.48,70.24,15.58,17.41,3.556581618,10.99917917,14.42176439,1.371742112,0.252226372,34.98
Siyaram Recycling Industries Ltd,SIYARAM,Consumer Discretionary,Cycles,300.5821795,40.02425826,-4.82,0,76.73,59.33,-4.21,0.61,4.606938012,12.21336803,21.33536045,,0.773230809,134.5
MK Exim (India) Ltd,MKEXIM,Consumer Discretionary,Textiles,299.2424243,19.39354661,15.27,8.38461225,84.54,0.7,18.78,3.51,3.822418281,20.08460788,24.67517127,,0.008280104,75.1
Rajeshwari Cans Ltd,RCAN,Materials,Packaging,299.12692,226.611303,0.93,3.50329262,10.04,3.77,2.38,1.45,1.258101411,14.07249467,16.70445956,,0.375498008,285.1
Brady And Morris Engineering Co Ltd,BRADYM,Industrials,Industrial Machinery,298.94625,35.50430523,2.44,10.61258226,28.32,2.68,5.85,3.41,37.42222222,31.62441315,41.89696349,,0.094632768,1274.7
Pritika Auto Industries Ltd,PRITIKAUTO,Consumer Discretionary,Auto Parts,297.8911613,23.69858085,-54.26,8.154662436,224.42,149.36,42.18,96.44,1.009386544,6.37892974,12.45625146,,0.665537831,17.35
Apollo Finvest (India) Ltd,APOLLOFI,Financials,Diversified Financials,297.7687,37.12826683,-36.13,-0.70139271,60.11,6.33,-35.87,0.26,21.4943793,14.30737668,15.36956194,,0.105306937,718.15
Commercial Syn Bags Ltd,COMSYN,Materials,Packaging,297.64389,37.86817939,-6.37,5.364217702,128.73,108.55,6.1,12.47,1.967350984,6.306667737,11.0393728,,0.843237785,74
Keltech Energies Ltd,KELENRG,Materials,Commodity Chemicals,297.44,15.3161689,41.94,5.25957444,99.56,25.08,51.2,9.26,194.2194219,21.48467751,27.0480914,0.050425296,0.251908397,3021.85
Rathi Steel and Power Ltd,RATHIST,Materials,Iron & Steel,297.1250695,12.62213549,10.97,9.960599153,123.07,0,24.15,13.18,3.997978592,47.47882211,24.23058469,,0,35.87
Pansari Developers Ltd,PANSARI,Real Estate,Real Estate,296.5956,56.9281382,-0.39,2.752642417,126.65,86.11,11.18,11.57,2.986220969,4.200257981,7.495572086,,0.679905251,170
Tierra Agrotech Ltd,TIERRA,Consumer Staples,Agro Products,296.3167025,-32.20833723,-5.98,0,97.68,21.06,-5.59,0.39,-2.236638437,-16.31494946,-8.176407454,,0.215601966,43
Trident Lifeline Ltd,TLL,Health Care,Pharmaceuticals,295.644432,46.63161388,-15.66,0,53.95,18.41,2.23,17.89,5.513427021,12.54700178,13.98203593,,0.341241891,266
Gujarat Natural Resources Ltd,GNRL,Energy,Oil & Gas - Exploration & Production,295.4544562,-76.34482073,2.75,-108.569683,109.1,40.74,2.75,0,-0.376903726,-3.484132343,-1.297490482,,0.373418882,23.93
UMA Exports Ltd,UMAEXPORTS,Consumer Staples,Agro Products,295.0583864,28.89896047,-20.5,-1.634193458,190.63,121.85,-17.31,3.19,3.019831806,5.511768517,11.66814784,,0.639196349,85.61
Sera Investments & Finance India Ltd,SERA,Financials,Specialized Finance,294.515,16.49020157,-7.25,0,69.14,19.45,-5.82,1.43,3.106086957,37.60395831,27.77857656,0.220701832,0.281313277,47.57
Addictive Learning Technology Ltd,LAWSIKHO,Consumer Discretionary,Education Services,294.39487,40.88817638,-2.74,0,68.34,0,18.98,21.72,2.1844749,20.45454545,21.22525647,,0,162.15
UCAL Ltd,UCAL,Consumer Discretionary,Auto Parts,293.9785308,-11.64271409,-49.48,8.810439878,371.17,267.91,38.95,88.43,-11.4182998,-6.605624591,3.043673493,,0.721798637,132.91
Ramdevbaba Solvent Ltd,RBS,Consumer Staples,FMCG - Household Products,293.1471743,22.48061152,-6.71,0,72.76,110.87,4.98,11.69,16.95386281,21.6252073,24.16953036,,1.5237768,118.5
Krishca Strapping Solutions Ltd,KRISHCA,Materials,Iron & Steel,293.0235,22.1484127,-1.06,-11.02800517,39.1,20.14,1.63,2.69,12.70893372,52.87769784,42.86039109,,0.515089514,216.8
Interiors & More Ltd,INM,Materials,Plastic Products,292.232835,41.51034588,-11.8,0,55.22,1.37,-9.85,1.95,11.59764093,21.60171832,20.84684685,,0.024809852,440
Oxygenta Pharmaceutical Ltd,OXYGENTAPH,Health Care,Pharmaceuticals,292.2066335,-83.96742342,-17.16,-11.67442786,-20.13,57.24,-13.05,4.11,-1.459584606,,-41.62711864,,,81.1
Emerald Leisures Ltd,EMERALL,Consumer Discretionary,Wellness Services,291.285747,-29.9368702,5.56,26.36117317,-42.09,85.54,5.58,0.02,-7.006250535,,-19.73882471,,,184.3
Patels Airtemp (India) Ltd,PATELSAI,Industrials,Industrial Machinery,290.8253096,19.69027147,8.69,1.684970062,142.72,92.65,11.13,2.44,27.00064348,10.8491259,20.86962009,0.564281012,0.649173206,515.9
UFO Moviez India Ltd,UFO,Communication Services,Movies & TV Serials,290.4896414,17.76695054,47.14,2.459186564,287.32,76.44,77.2,30.06,4.260173901,5.881506529,9.171222052,,0.266044828,71.45
Pil Italica Lifestyle Ltd,PILITA,Consumer Discretionary,Home Furnishing,289.99,62.76839827,-4.32,1.100221304,74.18,15.61,11.81,16.13,0.196595745,6.428273271,9.433962264,,0.210434079,12.35
Starteck Finance Ltd,STARTECK,Financials,Diversified Financials,289.5798426,18.22403037,36.3,57.18890367,204.02,201.81,36.3,0,16.03377486,8.28618361,5.06315331,0.085557837,0.989167729,288.35
IL&FS Investment Managers Ltd,IVC,Financials,Asset Management,288.9101208,28.57666872,-6.43,-5.340710696,222.18,0,-6.1,0.33,0.321940954,4.404652987,6.784083496,7.608695652,0,9.31
Ambalal Sarabhai Enterprises Ltd,AMBALALSA,Health Care,Pharmaceuticals,288.3710928,50.7695586,1.61,0.977009055,137.14,46.11,4.72,3.11,0.741192184,4.237699108,8.619524067,,0.336225755,36.11
Aveer Foods Ltd,AVEER,Consumer Staples,FMCG - Foods,288.3624194,228.859063,7.73,0,17.47,5.11,8.01,0.28,3.127907589,7.473309609,12.30847804,,0.292501431,751.6
Drone Destination Ltd,DRONE,Consumer Discretionary,Education Services,288.2859764,40.71835824,-28.77,0,61.63,3.98,-14.72,14.05,3.387559971,17.87201817,15.36064808,,0.064578939,115.8
Sakthi Sugars Ltd,SAKHTISUG,Consumer Staples,Sugar,286.9015729,2.21579837,101.38,6.317918254,117.94,773.43,113.88,12.5,10.89449308,241.7701428,33.15437815,,6.557826013,22.9
B&B Triplewall Containers Ltd,BBTCL,Materials,Packaging,286.7676464,16.95846519,-51.39,0,119.75,188.71,56.89,108.28,8.24426022,15.05184921,12.26918342,,1.575866388,137.96
EMA Partners India Ltd,EMAPARTNER,Industrials,Employment Services,286.2797362,20.03357146,0.15,0,54.94,7.58,11.92,11.77,1.681317899,29.92670157,27.21132197,,0.137968693,120.8
Menon Pistons Ltd,MENNPIS,Consumer Discretionary,Auto Parts,285.957,10.81122873,-7.77,0,138.92,20.58,22.23,30,5.18627451,20.61413764,24.81791573,1.78348493,0.148142816,52.35
India Gelatine & Chemicals Ltd,INDGELA,Materials,Commodity Chemicals,285.9260745,10.06781952,3.08,6.455075984,154.07,8,18.39,15.31,40.04342738,19.5545151,22.83294287,0.248046633,0.05192445,402.5
Markolines Pavement Technologies Ltd,MARKOLINES,Utilities,Power Infrastructure,285.8387148,16.52246906,-22.74,0,101.79,58.74,-8.95,13.79,9.054026896,18.44251373,24.57426872,0.668472079,0.577070439,132.95
A2z Infra Engineering Ltd,A2ZINFRA,Industrials,Construction & Engineering,285.4902898,-50.08601576,84.67,5.497237139,20.87,197.95,95.33,10.66,-0.323643232,-22.98387097,2.047224315,,9.484906564,15.46
Bharat Road Network Ltd,BRNL,Industrials,Roads,284.5905,-2.540759754,260.38,53.84303249,286.23,1328.08,364.5,104.12,-13.34246575,-32.66026155,4.294831622,,4.639904972,33.66
Ponni Sugars (Erode) Ltd,PONNIERODE,Consumer Staples,Sugar,282.7589759,6.034122406,1.12,5.155962096,551.92,0,16.08,14.96,54.49839726,9.327136474,9.135130389,2.128630075,0,315.25
Talbros Engineering Ltd,TALBROSENG,Consumer Discretionary,Auto Parts,282.7358903,15.85731297,-7.02,6.033359594,135.56,112.54,31.15,38.17,35.12259618,13.98047595,17.03321705,0.718197325,0.830185896,530
Kalyani Cast-Tech Ltd,KALYANI,Industrials,Industrial Machinery,281.2242825,29.26371306,-11.84,0,50.83,7.7,-9.5,2.34,15.76055761,29.51474201,26.25588697,,0.151485343,392
Jay Shree Tea and Industries Ltd,JAYSREETEA,Consumer Staples,Tea & Coffee,281.2089781,21.63145986,-74.16,3.062482464,290.74,323.5,-16.42,57.74,5.044200192,4.924708779,9.861366116,,1.112677994,93.77
Refex Renewables & Infrastructure Ltd,REFEXRENEW,Utilities,Renewable Energy,279.9104865,-11.318661,104.93,20.88885374,42.71,384,120.5,15.57,-55.07917771,-43.23804528,7.702422145,,8.990868649,649.85
B.R.Goyal Infrastructure Ltd,BRGIL,Industrials,Construction & Engineering,279.1064074,12.75623434,-3.71,5.227169041,126.73,49.47,11.94,15.65,12.57998756,18.89709375,20.23487422,,0.390357453,114
Super Sales India Ltd,SUPER,Industrials,Conglomerates,278.861485,14.0413638,-8.32,10.43045824,557.67,79.85,33.61,41.93,64.65896142,4.003911172,5.630904184,0.771010023,0.143185038,880
Bambino Agro Industries Ltd,BAMBINO,Consumer Staples,FMCG - Foods,278.6277523,25.4920176,17.28,7.47211576,93.25,84.85,26.4,9.12,13.64740938,12.3607577,17.19963454,0.459902271,0.909919571,343
VIP Clothing Ltd,VIPCLOTHNG,Consumer Discretionary,Apparel & Accessories,278.5903432,-22.04037526,10.26,4.444799716,138.33,80.52,10.43,0.17,-1.530330836,-8.731995441,-4.513064133,,0.582086315,30.03
NTC Industries Ltd,NTCIND,Consumer Staples,FMCG - Tobacco,277.50222,54.84233597,-7.44,41.51344969,102.61,46.33,90.45,97.89,4.236436705,5.286251567,6.714045259,,0.451515447,192.1
CLN Energy Ltd,CLN,Industrials,Batteries,277.33941,28.38683828,1.82,0,13.38,0,6.77,4.95,12.75248817,115.1443724,30.95535046,,0,253
KBC Global Ltd,KBCGLOBAL,Real Estate,Real Estate,277.124198,-7.5779108,68.37,0,909.92,75.95,68.4,0.03,-0.414933067,-3.96777606,-2.563318906,,0.083468876,1.05
Nimbus Projects Ltd,NIMBSPROJ,Real Estate,Real Estate,276.9109,27691.09,-16.58,16.91790288,-15.69,6.86,10.94,27.52,0.009226795,,5.091086532,,,260
Exxaro Tiles Ltd,EXXARO,Industrials,Building Products - Ceramics,276.4998126,123.9909474,-0.07,0,276.73,97.45,5.27,5.34,0.049842348,0.809760703,5.651552553,,0.352148303,5.88
Rikhav Securities Ltd,RIKHAV,Financials,Investment Banking & Brokerage,275.12802,6.450832825,46.38,0,138.08,48.06,46.94,0.56,28.46749433,36.60315826,37.73054755,,0.348059096,70.42
Cineline India Ltd,CINELINE,Real Estate,Real Estate,274.4741363,-60.59031707,24.29,25.67658688,149.47,349.62,41.76,17.47,-1.435068656,-3.14125234,7.551061274,,2.339064695,77.36
Sigma Solve Ltd,SIGMA,Information Technology,IT Services & Consulting,274.3578091,16.9986251,5.96,20.97732705,30.22,4.84,7.4,1.44,15.70459176,39.38026107,75.68929736,0.187300993,0.160158835,250.75
Gayatri Rubbers and Chemicals Ltd,GRCL,Consumer Discretionary,Tires & Rubber,274.10426,175.707859,-1.78,0,11.27,0.52,-0.31,1.47,2.718717323,14.87130601,20.63356164,,0.046140195,477.7
Surana Telecom and Power Ltd,SURANAT&P,Industrials,Cables,274.0993653,34.00736542,14.57,41.15461441,148.81,2.26,14.69,0.12,0.593694917,5.626330669,7.188720461,,0.015187151,19.95
Panasonic Energy India Co Ltd,PANAENERG,Industrials,Batteries,273.3,23.45922747,22.88,2.009156571,102.77,1.18,26.87,3.99,15.53333333,11.97697132,14.6496221,2.428649835,0.01148195,361.1
Aayush Wellness Ltd,AAYUSH,Consumer Discretionary,Wellness Services,273.2915899,471.1923964,-0.57,-6.570762557,4.92,0,-0.57,0,0.119163637,12.43301179,12.14574899,,0,55.03
K M Sugar Mills Ltd,KMSUGAR,Consumer Staples,Sugar,272.5045035,9.701121522,2.92,3.705266212,303.21,291.13,28.76,25.84,3.053255228,9.711826024,16.14728412,,0.960159625,28.77
Panchmahal Steel Ltd,PANCHMAHQ,Materials,Iron & Steel,271.5800133,90.52667111,38,4.04560241,156.89,39.9,39.7,1.7,1.572464758,1.93099897,7.201745878,,0.254318312,143
